record;classification;subClassification;length;width;thickness;diameter;weight;quantity;broadperiod;fromdate;todate;location;date;weather
451354;;;47.83;16.17;6.41;;6.25;1;BRONZE AGE;-1300;-800;Hambleton,Yorkshire del Norte;10174;57.2
451285;;;19.2;10.1;2.6;;0.65;1;NEOLITHIC;-4500;-2900;Cornwall,Cornwall;5886;53.6
451104;Barbed and tanged;;18.5;20.8;3;;2.72;1;BRONZE AGE;-2500;-800;Eden,Cumbria;13367;50
450285;;;;;;;;1;NEOLITHIC;-3500;-1500;Stroud,Gloucestershire;11568;50
448959;;;18;13;4;;1.25;1;NEOLITHIC;-2500;-2100;Cornwall,Cornwall;5886;66.2
448681;;;29;32;1.5;;9;1;NEOLITHIC;-2800;-2100;Cornwall,Cornwall;5886;77
448583;;;46.1;18.1;5.3;;4.5;1;NEOLITHIC;-2500;-2000;the Vale of Glamorgan,Gales;11911;77
448461;;;29;16.6;3.3;;1.57;1;NEOLITHIC;-3500;-2100;North Lincolnshire,Lincolnshire;10663;50
448458;Leaf Shaped;;26;17.3;4.1;;1.81;1;NEOLITHIC;-3500;-2100;North Lincolnshire,Lincolnshire;10663;50
447444;;;25;16;3.4;;1.7;1;NEOLITHIC;-3500;-1500;Cornwall,Cornwall;5886;50
447413;;;23;30;5;;2.2;1;NEOLITHIC;-2500;-2000;Cornwall,Cornwall;5886;50
447037;;;32.46;27.29;5.16;;4.63;1;NEOLITHIC;-2500;-1500;Cornwall,Cornwall;5886;50
446967;;;23.38;24.18;3.95;;2.58;1;NEOLITHIC;-2800;-1500;Cornwall,Cornwall;5886;50
446083;;;19;14;4;;0.9;1;NEOLITHIC;-4500;-2900;Cornwall,Cornwall;5886;50
446070;;;30;17;4;;1.45;1;NEOLITHIC;-4500;-2900;Cornwall,Cornwall;5886;69.8
445699;;;18.8;20.9;4;;1.7;1;NEOLITHIC;-2500;-2100;Cornwall,Cornwall;5886;60.8
445397;;;24.5;19.5;;;12.3;1;BRONZE AGE;-2150;-1500;South Northamptonshire,Northamptonshire;6553;73.4
445376;;;72.1;19.9;;;13;1;MEDIEVAL;1000;1400;Monmouthshire,Gales;13241;50
444880;;;38;;14;;;1;MEDIEVAL;1100;1500;Sheffield,Yorkshire del Sur;14158;73.4
444786;;;26.5;29.4;5.6;;4.77;1;BRONZE AGE;-2500;-1150;Taunton Deane,Somerset;6643;57.2
444362;;;30;24;9;;;1;MEDIEVAL;1400;1700;East Lindsey,Lincolnshire;14463;71.6
444330;;;33;6.5;0.1;;8.84;1;MEDIEVAL;1200;1500;Eden,Cumbria;13367;71.6
443661;triangular;;26.71;18.39;2.92;;1.3;1;NEOLITHIC;-2900;-2100;Doncaster,Yorkshire del Sur;5731;57.2
443656;Oblique;;37.07;21.42;7.07;;3.54;1;NEOLITHIC;-2900;-2100;Doncaster,Yorkshire del Sur;5731;57.2
443405;Transverse;Chisel;31.9;35.1;6.9;;5.44;1;NEOLITHIC;-2500;-2100;Isle of Wight,Isle of Wight;7100;50
442360;Leaf-shaped;;35.1;19.6;3.7;;2.02;1;NEOLITHIC;-3500;-2900;Isle of Wight,Isle of Wight;7100;69.8
441758;;;39;21;5;;2.6;1;NEOLITHIC;-2900;-2100;Cornwall,Cornwall;5886;59
440978;;;36;20;6;;3.02;1;BRONZE AGE;-1500;-800;Rutland,Rutland;14011;55.4
440608;;;48.24;12.8;9.55;;11.83;1;UNKNOWN;-2150;1950;Leeds,Yorkshire del Oeste;13251;55.4
439470;;;28.35;14.41;5.32;;2.42;1;NEOLITHIC;-4500;-1500;Arun,Sussex Occidental;10288;55.4
439463;;;30.64;18.22;2.96;;2.37;1;NEOLITHIC;-4500;-1500;Arun,Sussex Occidental;10288;66.2
439460;;;27.15;14.39;3.36;;1.52;1;NEOLITHIC;-4500;-1500;Arun,Sussex Occidental;10288;46.4
438371;;;3.2;1.25;5;;1.5;1;NEOLITHIC;-3500;-2100;Solihull,Midlands Occidentales;12605;46.4
437436;;;27.68;18.82;;;1.78;1;BRONZE AGE;-2000;-1500;Guildford,Surrey;13980;46.4
437432;;;25.61;16.85;;;1.42;1;NEOLITHIC;-6000;-2000;Guildford,Surrey;13980;66.2
437427;;;29.13;16.62;;;2.78;1;NEOLITHIC;-6000;-2000;Guildford,Surrey;13980;46.4
437425;;;;25.62;;;2.17;1;NEOLITHIC;-6000;-2000;Mole Valley,Surrey;5603;46.4
437424;;;43.98;21;6.26;;6.43;1;NEOLITHIC;-6000;-2000;Guildford,Surrey;13980;60.8
437422;;;35.63;36.34;8.95;;12.48;1;NEOLITHIC;-6000;-2000;Guildford,Surrey;13980;62.6
437359;;;33.04;22.15;3.3;;2.5;1;NEOLITHIC;-2900;-1500;Canterbury,Kent;6645;57.2
437015;;;28.6;16.88;4.04;;1.54;1;BRONZE AGE;-2150;-1500;St. Edmundsbury,Suffolk;11781;69.8
436946;Hollow based;;25.8;18.6;3.7;;1.67;1;NEOLITHIC;-2500;-2100;Isle of Wight,Isle of Wight;7100;50
436854;;;18;17;;;;1;NEOLITHIC;-2150;-1500;North Kesteven,Lincolnshire;10147;50
435946;;;30.95;16.91;6.25;;2.6;1;NEOLITHIC;-3500;-2800;Northumberland,Northumberland;12396;50
435933;;;19.3;13.94;1.82;;0.6;1;NEOLITHIC;-3500;-2800;Northumberland,Northumberland;12396;68
435443;Leaf-shaped;;19.06;15.24;3.76;;0.9;1;NEOLITHIC;-3500;-2900;Northumberland,Northumberland;12396;77
433776;;;23.9;15.75;4.8;;1.76;1;NEOLITHIC;-4500;-1500;West Somerset,Somerset;12273;50
433270;leaf-shaped;;22.5;15.6;2.9;;1.15;1;NEOLITHIC;-3500;-2100;North Lincolnshire,Lincolnshire;10663;66.2
433107;;;21.9;23.9;3.7;;1.84;1;NEOLITHIC;-3500;-1500;Taunton Deane,Somerset;6643;50
433101;;;39.29;21.44;;;;1;BRONZE AGE;-2000;-1500;Mole Valley,Surrey;5603;50
432888;;;22.3;23.9;5.9;;2.87;1;MESOLITHIC;-6500;-2900;Taunton Deane,Somerset;6643;50
431970;leaf shaped;;39;18.5;4;;;1;NEOLITHIC;-3500;-2100;Rugby,Warwickshire;13553;50
430452;leaf-shaped;;16.4;13.2;3.3;;0.62;1;NEOLITHIC;-3500;-2100;Bolsover,Derbyshire;10476;50
430450;barbed-and-tanged;;16.4;18.5;3.5;;0.83;1;NEOLITHIC;-2500;-1500;Bolsover,Derbyshire;10476;50
430449;leaf-shaped;;29.2;17.5;3.6;;1.73;1;NEOLITHIC;-3500;-2100;Bolsover,Derbyshire;10476;50
430446;barbed-and-tanged;;28;24;5.9;;2.83;1;NEOLITHIC;-2500;-1500;Bolsover,Derbyshire;10476;50
430440;transverse;British oblique;34.7;21.9;4;;2.56;1;NEOLITHIC;-3000;-2400;Bolsover,Derbyshire;10476;51.8
430436;leaf shaped;;34.7;16.3;4.8;;2.5;1;NEOLITHIC;-3500;-2100;Bolsover,Derbyshire;10476;71.6
429314;;;36.7;12.17;0.93;;3.2;1;UNKNOWN;;;Stafford,Staffordshire;12032;46.4
429091;;;28.72;26.25;4.53;;2.73;1;NEOLITHIC;-2500;-1500;Doncaster,Yorkshire del Sur;5731;75.2
427489;;;28.11;20.61;4.21;;2.15;1;NEOLITHIC;-2500;-2100;Wiltshire,Wiltshire;7406;55.4
426184;;;36;19.9;5;;3.14;1;NEOLITHIC;-2500;-2100;Harrogate,Yorkshire del Norte;12095;73.4
421313;;;41.75;;9.8;;5.6;1;MEDIEVAL;1200;1700;South Kesteven,Lincolnshire;13611;62.6
420223;Flint arrowhead;;19.6;21.8;;;1.53;1;NEOLITHIC;4000;2000;East Riding of Yorkshire,East Riding of Yorkshire;13250;57.2
419674;;;47.4;12.8;8;;6;1;ROMAN;200;410;Test Valley,Hampshire;9407;73.4
