record;classification;subClassification;length;width;thickness;diameter;weight;quantity;broadperiod;fromdate;todate;location;date;weather
274444;;;28.14;20.5;5.1;;2.9;1;NEOLITHIC;-2500;-2100;County of Herefordshire,Herefordshire;5491;57.2
273754;;;27.3;12.75;5.82;;3.8;1;EARLY MEDIEVAL;850;1400;South Cambridgeshire,Cambridgeshire;14251;66.2
271179;Barbed and tanged;;26.5;21.4;3.8;;2.27;1;NEOLITHIC;-2500;-1500;Isle of Wight,Isle of Wight;7100;50
270890;;;30.26;18.5;3.63;;2.53;1;NEOLITHIC;-2500;-2100;Selby,Yorkshire del Norte;13941;64.4
270450;;;33.17;24.5;3.54;;3.3;1;NEOLITHIC;-2500;-1500;Hambleton,Yorkshire del Norte;10174;57.2
270399;;;44.45;14.5;8.86;;8.51;1;MEDIEVAL;1400;1500;Southwark,Southwark;7031;57.2
270222;;;22.65;14.47;2.61;;0.9;1;NEOLITHIC;-3500;-1500;Flintshire,Flintshire;6036;69.8
269249;;;23;23;;;1.19;1;BRONZE AGE;-2300;-600;Eden,Cumbria;13367;64.4
269242;shale;;30;17;4;;2.26;1;MESOLITHIC;-6500;-2900;Pendle,Lancashire;9838;66.2
268992;;;29;20.2;;;;1;MESOLITHIC;-6500;-2900;Bassetlaw,Nottinghamshire;9226;66.2
268345;;;30.85;22.32;7.24;;3.8;1;NEOLITHIC;-3500;-2900;Selby,Yorkshire del Norte;13941;73.4
268343;;;33.53;24.95;8.27;;8.1;1;NEOLITHIC;-3500;-2900;Selby,Yorkshire del Norte;13941;73.4
267938;;;23.92;12.69;2.82;;0.9;1;NEOLITHIC;4000;3500;West Oxfordshire,Oxfordshire;5884;50
267937;;;23.95;13.62;3.48;;1.1;1;NEOLITHIC;4000;3500;West Oxfordshire,Oxfordshire;5884;69.8
265738;;;28.22;29.51;4.9;;4.05;1;NEOLITHIC;-2500;-2100;Taunton Deane,Somerset;6643;62.6
264922;;;30.4;19.4;4.6;;2.36;1;NEOLITHIC;-2500;-1150;Lewes,Sussex Oriental;7375;46.4
264904;;;44.27;17.46;;;9.49;1;MEDIEVAL;1200;1400;St. Edmundsbury,Suffolk;11781;62.6
263938;;;43;23;5;;6.7;1;NEOLITHIC;-3500;-1500;North West Leicestershire,Leicestershire;6217;62.6
262747;;;23.3;21.9;4;;1.64;1;NEOLITHIC;-2500;-1150;Horsham,Sussex Occidental;9536;62.6
262745;;;23.3;21.9;4;;1.64;1;NEOLITHIC;-2500;-1150;Horsham,Sussex Occidental;9536;50
262512;;;;;;;2.97;2;BRONZE AGE;-2500;-1150;Horsham,Sussex Occidental;9536;75.2
258381;;Barbed and Tanged;55.54;25.5;3.42;;10.03;1;BRONZE AGE;-2100;-1500;East Cambridgeshire,Cambridgeshire;10386;71.6
257372;;;28.2;21.7;4;;2.63;1;NEOLITHIC;-3000;-2200;Stratford-on-Avon,Warwickshire;7521;62.6
256582;;;54.9;46.1;4.4;;9.04;1;NEOLITHIC;-2500;-2100;Ryedale,Yorkshire del Norte;7953;51.8
253231;;;31;18.8;3.5;;2.15;1;NEOLITHIC;-3500;-2900;Rother,Sussex Oriental;8318;51.8
252831;;;24.63;17.37;5.51;;2.18;1;NEOLITHIC;-3500;-2100;Mendip,Somerset;10695;51.8
252811;;;-47.62;24.79;4.37;;3.65;1;NEOLITHIC;-3500;-2100;Mendip,Somerset;10695;51.8
252803;;;16.82;13.59;2.19;;0.38;1;NEOLITHIC;-3500;-1500;Mendip,Somerset;10695;46.4
252797;;;33.36;17.75;5.51;;2.97;1;NEOLITHIC;-3500;-2100;Mendip,Somerset;10695;73.4
251929;;;28.88;23.31;4.99;;2.97;1;NEOLITHIC;-2500;-2100;South Somerset,Somerset;10540;73.4
250631;;;21.4;14.9;4.1;;0.9;1;BRONZE AGE;-2150;-800;East Riding of Yorkshire,East Riding of Yorkshire;13250;71.6
248464;;;23.7;18.9;3.4;;1.2;1;BRONZE AGE;-2150;-800;East Riding of Yorkshire,East Riding of Yorkshire;13250;68
246605;Leaf shaped;;35.05;17.99;3.84;;2.27;1;NEOLITHIC;-3500;-2100;Ryedale,Yorkshire del Norte;7953;68
246417;leaf shaped;;32.6;20.96;4.71;;3.06;1;NEOLITHIC;-3500;-2500;Rotherham,Yorkshire del Sur;10631;68
246415;Petit Tranchet;;18.71;22.88;2.66;;1.69;1;NEOLITHIC;-2500;-2100;Rotherham,Yorkshire del Sur;10631;68
246311;leaf shaped;;18.34;19.03;2.52;;1.06;1;NEOLITHIC;-3500;-2900;Rotherham,Yorkshire del Sur;10631;48.2
246305;hollow based;;31.27;20.67;3.89;;2.54;1;NEOLITHIC;-2500;-2100;Rotherham,Yorkshire del Sur;10631;62.6
246233;;;41;12.69;11.59;;5.6;1;MEDIEVAL;1300;1500;Wycombe,Buckinghamshire;7529;73.4
246140;;;88.25;;10.9;;15.29;1;MEDIEVAL;1250;1350;Winchester,Hampshire;10715;77
243257;;;18.67;48.01;4.57;;10;1;BRONZE AGE;-2150;800;Cheshire East,Cheshire;12247;64.4
240542;Leaf Shaped;;38.4;19.6;4.4;;3.35;1;NEOLITHIC;-3500;-2100;North Lincolnshire,Lincolnshire;10663;77
240370;;;35.52;20.33;4.79;;3.49;1;NEOLITHIC;-3500;-2900;Wealden,Sussex Oriental;12571;75.2
239666;;;;;;;;1;NEOLITHIC;-4000;-3001;King's Lynn and West Norfolk,Norfolk;12305;50
237734;;;;;;;;1;NEOLITHIC;-2500;-2100;Breckland,Norfolk;12395;77
237460;Leaf-shaped;;33;25;6;;;1;NEOLITHIC;-4500;-2900;Cornwall,Cornwall;5886;69.8
236071;Leaf-shaped;;35.45;16.13;4.22;;2.54;1;NEOLITHIC;-3500;-2100;Colchester,Essex;9134;50
235696;;;92.5;57.9;11.6;;36.59;1;MEDIEVAL;1200;1300;Lewes,Sussex Oriental;7375;75.2
234428;Barbed and Tanged;;25.9;17.3;5.5;;2.07;1;BRONZE AGE;-2150;-800;Hambleton,Yorkshire del Norte;10174;50
234297;;;29.17;14.18;3.39;;;1;NEOLITHIC;;;Stratford-on-Avon,Warwickshire;7521;53.6
233574;Leaf Shaped;;24.2;18.6;3.5;;1.41;1;NEOLITHIC;-3500;-2100;Hambleton,Yorkshire del Norte;10174;48.2
233283;Barbed and Tanged;;45.26;25.04;5.11;4.58;2.78;1;BRONZE AGE;-2150;-1500;Huntingdonshire,Cambridgeshire;13549;48.2
231949;Leaf-shaped;;39.8;19.23;;;5.5;1;NEOLITHIC;;;Vale of White Horse,Oxfordshire;9599;64.4
231880;Jessop MP3;;53.6;16.43;;;11.12;1;MEDIEVAL;1066;1500;Vale of White Horse,Oxfordshire;9599;68
231382;;;32.2;16.9;3.8;;1.91;1;NEOLITHIC;-3500;-2100;Bassetlaw,Nottinghamshire;9226;75.2
230959;;;31.33;19.92;8.33;;4.7;1;NEOLITHIC;;;County Durham,Durham;10319;51.8
230887;Barbed and tanged;;23.9;17.7;3.7;;1.16;1;NEOLITHIC;-2300;-1500;Shropshire,Shropshire;12115;75.2
228860;Chisel;;43.7;25.6;7.5;;7.8;1;NEOLITHIC;-2500;-2100;Mendip,Somerset;10695;73.4
228493;;;33.4;19.9;3.2;;1.9;1;NEOLITHIC;-3500;-2100;Harrogate,Yorkshire del Norte;12095;77
228427;;;48.73;28.16;12.49;;14;1;NEOLITHIC;-3500;-2900;East Riding of Yorkshire,East Riding of Yorkshire;13250;73.4
227821;;;41;18;4;;;1;NEOLITHIC;-2500;-1500;King's Lynn and West Norfolk,Norfolk;12305;62.6
227321;;;73;;;;21;1;;;;East Northamptonshire,Northamptonshire;8100;46.4
227088;;;29.51;24.46;4.17;;2.5;1;BRONZE AGE;-2150;-1500;South Lakeland,Cumbria;7070;71.6
227074;Leaf;;40;17;15.5;;3.35;1;NEOLITHIC;-3500;-2900;Wiltshire,Wiltshire;7406;68
226511;;;41.4;19.2;6.5;;4.8;1;NEOLITHIC;-3500;-2100;Ryedale,Yorkshire del Norte;7953;68
225668;;;31.6;21.1;5.8;;3.68;1;NEOLITHIC;-2500;-1500;Rotherham,Yorkshire del Sur;10631;68
225658;;;23.9;17.5;4.5;;1.86;1;NEOLITHIC;-2500;-1500;Rotherham,Yorkshire del Sur;10631;46.4
225646;;;21.9;20.6;5.7;;2.3;1;NEOLITHIC;-3500;-2100;Rotherham,Yorkshire del Sur;10631;68
225352;;;27.8;17.6;4;;;1;NEOLITHIC;;;Denbighshire,Denbighshire;11050;73.4
223982;;;30.6;13.27;3.26;;1.3;1;NEOLITHIC;;;County Durham,Durham;10319;46.4
223141;;;30.6;15.4;4.1;;1.7;1;NEOLITHIC;-3500;-2150;East Riding of Yorkshire,East Riding of Yorkshire;13250;64.4
222803;Barbed and Tanged;;26;16.6;4.2;;1.4;1;BRONZE AGE;-2150;-1500;South Somerset,Somerset;10540;69.8
220926;Leaf Shaped;;33;18;4;;3.06;1;NEOLITHIC;;;East Devon,Devon;8281;77
220737;Tanged;;24.8;16.1;2.9;;1.1;1;BRONZE AGE;-2150;-1500;Newark and Sherwood,Nottinghamshire;8646;60.8
220582;Barbed and Tanged;;26;12.9;3.2;;1.68;1;NEOLITHIC;-2500;-1500;North Lincolnshire,Lincolnshire;10663;68
219700;Leaf-shaped;;39;106;;;5.3;1;NEOLITHIC;-3500;;Northampton,Northamptonshire;13951;64.4
219257;Transverse;;30.3;17.9;5.8;;2.47;1;NEOLITHIC;-2500;-2100;Rotherham,Yorkshire del Sur;10631;59
219239;Transverse;;36.7;32.3;4.3;;4.35;1;NEOLITHIC;-2500;-2100;Bassetlaw,Nottinghamshire;9226;59
218838;;;42.8;27.8;8.1;;8.08;1;NEOLITHIC;-3500;-2900;Leeds,Yorkshire del Oeste;13251;75.2
218836;;;32.7;15.1;3.7;;1.68;1;NEOLITHIC;-3500;-2900;Leeds,Yorkshire del Oeste;13251;75.2
217785;;;35;18;;;3.2;1;NEOLITHIC;-2400;-1500;Wirral,Merseyside;11450;73.4
217784;;;34;21;;;2.8;1;NEOLITHIC;2400;1500;Wirral,Merseyside;11450;71.6
217204;Barbed and Tanged;;38;21;;;;1;NEOLITHIC;-2500;-1500;East Lindsey,Lincolnshire;14463;59
216852;;;75.4;17.1;10.5;;21.19;1;MEDIEVAL;1066;1500;Doncaster,Yorkshire del Sur;5731;62.6
216174;;;28.38;12.99;;;1.3;1;NEOLITHIC;-3500;-2900;Malvern Hills,Worcestershire;6515;66.2
215822;oblique;transverse;31.4;14.7;4.5;;1.85;1;NEOLITHIC;-3500;-2100;North East Derbyshire,Derbyshire;12277;71.6
215407;;;57;18.2;9.3;;10.97;1;MEDIEVAL;1066;1500;Selby,Yorkshire del Norte;13941;64.4
215022;;;35.8;12.2;10.2;;4.61;1;MEDIEVAL;1066;1500;Doncaster,Yorkshire del Sur;5731;46.4
214610;Barbed and tanged;;36.6;22.4;4.6;;2.75;1;BRONZE AGE;-2150;-1150;Wealden,Sussex Oriental;12571;59
214043;Chisel;;29.6;19;4.4;;2.3;1;NEOLITHIC;-3500;-2150;South Somerset,Somerset;10540;69.8
213763;;;26.9;15.5;3.7;;1.2;1;MESOLITHIC;-6500;-2900;Eastbourne,Sussex Oriental;13975;64.4
213723;leaf-shaped;;30;17.3;2.8;;1.22;1;NEOLITHIC;-3500;-2500;Newark and Sherwood,Nottinghamshire;8646;75.2
213394;Barbed and Tanged;;50.3;26.2;5.7;;5.3;1;BRONZE AGE;-2150;-1500;Bath and North East Somerset,Somerset;14375;68
213346;barbed and tanged;;;;4;;;1;BRONZE AGE;-2300;-1700;Broadland,Norfolk;14063;68
213102;;;32.8;17.6;9.8;;4.4;1;NEOLITHIC;-2500;-2100;Rotherham,Yorkshire del Sur;10631;69.8
213090;;;34.2;21.6;6.5;;5;1;NEOLITHIC;-2500;-2100;Rotherham,Yorkshire del Sur;10631;46.4
212964;Leaf shaped;;40;25;2.5;;;1;NEOLITHIC;-4000;-2000;North Kesteven,Lincolnshire;10147;75.2
212669;;;45.1;20.5;5.7;;4.7;1;NEOLITHIC;-3500;-2500;West Lindsey,Lincolnshire;11059;75.2
212082;;;79.7;30.7;;11.7;20.08;1;MEDIEVAL;1066;1400;Stratford-on-Avon,Warwickshire;7521;66.2
212075;;;50.5;14.6;;;6.32;1;MEDIEVAL;1066;1400;Stratford-on-Avon,Warwickshire;7521;66.2
211953;;;24.99;19.75;3.88;;1.4;1;NEOLITHIC;-2150;-1500;York,Yorkshire;6160;51.8
211952;;;31.04;18.07;3.55;;1.48;1;NEOLITHIC;-2150;-1500;York,Yorkshire;6160;69.8
211338;;;;;;;;1;BRONZE AGE;-2500;-1400;Forest Heath,Suffolk;7376;69.8
211266;;;32.5;23.4;5.8;;5.6;1;NEOLITHIC;-3500;-2100;South Northamptonshire,Northamptonshire;6553;57.2
210926;;;31;16;7;;;1;NEOLITHIC;-3500;-2100;Rutland,Rutland;14011;69.8
210337;;;58.9;38.9;9.9;;23.93;1;NEOLITHIC;-3500;-2100;Isle of Wight,Isle of Wight;7100;69.8
209055;Oblique;;30;20.2;4.4;;2.65;1;NEOLITHIC;-2500;-1500;Newark and Sherwood,Nottinghamshire;8646;50
209049;;;30.2;18;4;;1.74;1;NEOLITHIC;-2500;-1500;Newark and Sherwood,Nottinghamshire;8646;69.8
206836;;;20.3;16.5;4.8;;6.8;1;BRONZE AGE;-2150;-800;Hambleton,Yorkshire del Norte;10174;59
206045;Barbed and tanged;;27.21;25.7;8.16;;3.87;1;NEOLITHIC;-2500;-2100;Bedford,Bedfordshire;12391;77
205315;Leaf Shaped;;47.7;17.9;7.3;;5.07;1;NEOLITHIC;-3000;-2500;Malvern Hills,Worcestershire;6515;68
205314;Leaf Shaped;;40;21.2;4.8;;3.8;1;NEOLITHIC;-3000;-2500;County of Herefordshire,Herefordshire;5491;68
205275;Barbed and tanged;;39.23;30.52;5.09;;4.1;1;BRONZE AGE;-2000;-800;County Durham,Durham;10319;66.2
204368;;;30.7;17;4.1;;2.3;1;NEOLITHIC;-2500;-1500;Rotherham,Yorkshire del Sur;10631;77
203810;;;18.6;18.8;4.1;;1.1;1;BRONZE AGE;-2150;-800;Selby,Yorkshire del Norte;13941;62.6
203301;;;;;;;;1;MODERN;;;Suffolk Coastal,Suffolk;5788;73.4
203298;;;;;;;;1;NEOLITHIC;-2500;-2100;St. Edmundsbury,Suffolk;11781;75.2
203142;;;41.4;20.5;7.2;;4.9;1;NEOLITHIC;-3500;-2100;East Lindsey,Lincolnshire;14463;59
202606;;;40.42;12.63;5.85;;;1;MEDIEVAL;;;Harrogate,Yorkshire del Norte;12095;77
202104;;;;;;;;1;NEOLITHIC;-3500;-2100;Waveney,Suffolk;12451;46.4
201591;Barbed and Tanged;;30.3;15.7;4.5;;1.69;1;NEOLITHIC;-2500;-1500;North Lincolnshire,Lincolnshire;10663;46.4
201097;Chisel;;27.8;26.4;7.1;;4.6;1;NEOLITHIC;-2500;-1500;South Somerset,Somerset;10540;
199891;;;44.6;23.5;10;;9.5;1;MEDIEVAL;1225;1500;Wiltshire,Wiltshire;7406;64.4
199204;;;100.3;7.6;6.7;5.1;16.69;1;MEDIEVAL;1250;1499;;10663;46.4
194908;Barbed and Tanged;;26;18.5;;;;1;BRONZE AGE;-2150;-1500;Bath and North East Somerset,Somerset;14375;46.4
192743;petit tranchet derivative;;36.9;32.3;7.2;;7.78;1;NEOLITHIC;-2500;-2100;Wiltshire,Wiltshire;7406;46.4
192731;;;39.5;23.3;4.9;;4.32;1;NEOLITHIC;-3500;-2900;Wiltshire,Wiltshire;7406;68
192204;;;42;;;11;7.11;1;MEDIEVAL;1100;1500;Wiltshire,Wiltshire;7406;46.4
191022;;;24.2;12;4.5;;1.37;1;NEOLITHIC;-2500;-2100;Oldham,Gran Mánchester;5724;51.8
190899;;;40.8;28.6;5.5;;6.11;1;NEOLITHIC;-2500;-1500;Wiltshire,Wiltshire;7406;59
190612;;;25.3;25.6;6.5;;3;1;NEOLITHIC;-3500;-1500;Mendip,Somerset;10695;60.8
189235;Leaf-shaped;;29.51;21.3;9000.94;;5.3;1;NEOLITHIC;-3500;-1150;Malvern Hills,Worcestershire;6515;57.2
189025;;;35;28;8;;;1;BRONZE AGE;-2150;-800;Northampton,Northamptonshire;13951;71.6
187590;;;56;47;6;;;1;NEOLITHIC;-2500;-1500;Eden,Cumbria;13367;77
186281;;;31.7;19.3;4.7;;2.4;1;NEOLITHIC;-3500;-2500;Doncaster,Yorkshire del Sur;5731;51.8
186162;Leaf shaped;;33.07;27.02;6.78;;4.52;1;NEOLITHIC;-3500;-2900;Colchester,Essex;9134;48.2
185793;;;24.64;25.73;;;1.73;1;BRONZE AGE;-2150;1900;Forest Heath,Suffolk;7376;48.2
185772;Leaf-shaped;;17.64;9.89;3.99;;0.55;1;NEOLITHIC;-2500;-2100;Vale of White Horse,Oxfordshire;9599;46.4
185757;Barbed and tanged;;18.9;16.9;3.3;;1;1;NEOLITHIC;-2500;-2100;Vale of White Horse,Oxfordshire;9599;50
185205;;;34.2;20.7;4.2;;2.6;1;BRONZE AGE;-2150;-1500;South Somerset,Somerset;10540;77
185204;;;27.3;21.3;3.9;;1.6;1;BRONZE AGE;-2150;-1500;Taunton Deane,Somerset;6643;77
184834;Barbed and Tanged;;23.4;19.3;3.9;;1.21;1;NEOLITHIC;-2500;-1500;North Lincolnshire,Lincolnshire;10663;77
184818;;;15.9;9.8;2.7;;0.45;1;MESOLITHIC;-8300;-2100;North Lincolnshire,Lincolnshire;10663;77
184809;Barbed and Tanged;;19.6;18.1;4.1;;1.05;1;NEOLITHIC;-2500;-1500;North Lincolnshire,Lincolnshire;10663;77
184800;Tranchet;;24.2;18.9;3.4;;1.28;1;NEOLITHIC;-3500;-2100;North Lincolnshire,Lincolnshire;10663;77
184795;Leaf shaped;;33.6;17.9;4.4;;2.33;1;NEOLITHIC;-3500;-2100;North Lincolnshire,Lincolnshire;10663;77
184793;Barbed and Tanged;;24.6;19.2;3.6;;1.04;1;NEOLITHIC;-2500;-1500;North Lincolnshire,Lincolnshire;10663;77
184792;leaf shaped;;25;13.3;;;0.72;1;NEOLITHIC;-3500;-2100;North Lincolnshire,Lincolnshire;10663;77
184790;;;24.6;19.2;3.6;;1.04;1;NEOLITHIC;-2500;-1500;North Lincolnshire,Lincolnshire;10663;77
184784;Leaf shaped;;24.9;18.1;4.2;;2.32;1;NEOLITHIC;-3500;-2100;North Lincolnshire,Lincolnshire;10663;77
184587;Barbed and Tanged;;28.6;17.3;4.3;;1.55;1;NEOLITHIC;-2500;-1500;North Lincolnshire,Lincolnshire;10663;77
184586;Barbed and Tanged;;18.4;15.7;3.5;;0.87;1;NEOLITHIC;-2500;-1500;North Lincolnshire,Lincolnshire;10663;77
184563;Barbed and Tanged;;37.5;30.6;6.8;;5.19;1;NEOLITHIC;-2500;-1500;North Lincolnshire,Lincolnshire;10663;77
184550;;;32;15.9;4.7;;1.95;1;NEOLITHIC;-3500;-2100;North Lincolnshire,Lincolnshire;10663;77
184545;Leaf shaped;;26.5;14.8;1.8;;0.96;1;NEOLITHIC;-3500;-2100;North Lincolnshire,Lincolnshire;10663;75.2
184543;Barbed and Tanged;;22.2;20.5;3.3;;1.12;1;NEOLITHIC;-2500;-1500;North Lincolnshire,Lincolnshire;10663;69.8
183913;;;37.3;26.35;7.08;;6.3;1;NEOLITHIC;-2500;-1500;Stratford-on-Avon,Warwickshire;7521;68
183887;Leaf shaped;;40;18;2;;;1;NEOLITHIC;-3500;-2900;North Kesteven,Lincolnshire;10147;68
183654;leaf shaped;;24.4;16.7;6.8;;2.9;1;NEOLITHIC;-3500;-2900;Rotherham,Yorkshire del Sur;10631;57.2
183511;Leaf shaped;;;;;;;1;NEOLITHIC;-4500;-2100;Maidstone,Kent;8320;69.8
183505;;;36.8;27;5.7;;5.21;1;NEOLITHIC;-2500;-1500;Isle of Wight,Isle of Wight;7100;57.2
183380;;;24.28;24.04;4.75;;2.27;1;BRONZE AGE;-2500;-1500;Reigate and Banstead,Surrey;14590;64.4
182945;;;35.7;20.7;3.8;;2.61;1;;-3500;-2100;Isle of Wight,Isle of Wight;7100;69.8
182571;;;33.5;33.2;5.8;;5.56;1;NEOLITHIC;;;Bassetlaw,Nottinghamshire;9226;48.2
181288;Leaf-shaped;;;;;;;1;NEOLITHIC;4000;2500;Cheshire West and Chester,Cheshire;12123;77
181248;;;68;30;12;;15.91;1;MEDIEVAL;1200;1400;Tewkesbury,Gloucestershire;6183;77
181203;Barbed and Tanged;;27.9;26.5;4.9;;2.68;1;NEOLITHIC;-2500;-1500;North Lincolnshire,Lincolnshire;10663;64.4
180226;;;85;37;9;;18;1;BRONZE AGE;-2150;-1500;Suffolk Coastal,Suffolk;5788;46.4
180027;flint;transverse;35.93;17.64;3.32;;2.39;1;NEOLITHIC;;;Bassetlaw,Nottinghamshire;9226;46.4
180020;flint;leaf-shaped;44.16;26.71;4.37;;4.34;1;NEOLITHIC;;;West Lindsey,Lincolnshire;11059;75.2
179662;;;30.8;22.1;8.5;;6.21;1;NEOLITHIC;-3500;-800;Wiltshire,Wiltshire;7406;75.2
179240;transverse;oblique;32.7;20.16;4.04;;1.89;1;NEOLITHIC;3000;2000;Derbyshire Dales,Derbyshire;8320;77
179174;;;55.2;11;2;4.5;6.1;1;MEDIEVAL;;;Wirral,Merseyside;11450;69.8
178868;;;27.3;25.3;4.9;;2.95;1;NEOLITHIC;-2500;-1500;North Lincolnshire,Lincolnshire;10663;62.6
178177;;;26;24;6;;3.12;1;BRONZE AGE;-2150;-800;Hinckley and Bosworth,Leicestershire;8167;50
177209;;;32.7;19.9;5.1;;2.6;1;BRONZE AGE;-2150;-800;Rother,Sussex Oriental;8318;57.2
176821;;;25.4;23.3;6.2;;3.65;1;NEOLITHIC;-4000;-3300;Cornwall,Cornwall;5886;50
162005;;;31.8;25.2;3.3;;2.51;1;BRONZE AGE;-2150;-1500;Isle of Wight,Isle of Wight;7100;69.8
161975;;;22.58;15.68;;;1.33;1;NEOLITHIC;-2500;-1500;Rugby,Warwickshire;13553;69.8
161903;Transverse;;35;29;2.5;;;1;NEOLITHIC;-4000;-1800;North Kesteven,Lincolnshire;10147;77
161902;;;29;18;2.8;;;1;NEOLITHIC;-2500;-1500;North Kesteven,Lincolnshire;10147;48.2
161295;Barbed and Tanged;;33;22;5.5;;2.66;1;BRONZE AGE;-2150;-1150;North Lincolnshire,Lincolnshire;10663;66.2
161197;;;30;19;4;;2.71;1;NEOLITHIC;-3500;-2100;Harborough,Leicestershire;8647;
160700;;;38.2;22.3;3.6;;2.88;1;NEOLITHIC;-2800;-2100;Selby,Yorkshire del Norte;13941;73.4
159320;;;44.07;28.51;8.92;;;1;BRONZE AGE;-2150;-1500;;13241;55.4
157913;;;27;25;;;;1;NEOLITHIC;-3200;1500;South Cambridgeshire,Cambridgeshire;14251;46.4
157304;;;34.5;28.5;5.5;;7.6;1;NEOLITHIC;-3500;-2150;South Kesteven,Lincolnshire;13611;62.6
156793;;;22.7;19.3;3.2;;1.27;1;BRONZE AGE;-2150;-1500;Wiltshire,Wiltshire;7406;59
156473;oblique;;27;18.75;5.4;;1.97;1;NEOLITHIC;-2000;-1500;North East Derbyshire,Derbyshire;12277;64.4
156041;;;52.9;17.2;9.4;;8.2;1;MEDIEVAL;1066;1500;Leeds,Yorkshire del Oeste;13251;64.4
154925;Tanged and barbed;;30;24;4;;;1;BRONZE AGE;-2150;-1500;East Devon,Devon;8281;64.4
154905;;;31;24;4;;;1;NEOLITHIC;-4000;-2351;East Devon,Devon;8281;59
154892;;;28;14;3;;;1;NEOLITHIC;-4000;-2351;East Devon,Devon;8281;73.4
154620;Bodkin head;;52.2;9.1;7.4;;10.82;1;MEDIEVAL;1200;1400;Hertsmere,Hertfordshire;10228;73.4
154427;;;50;20;;;;1;MEDIEVAL;1200;1400;Aylesbury Vale,Buckinghamshire;13823;73.4
153361;;;;;;;;1;MEDIEVAL;;;East Lindsey,Lincolnshire;14463;50
153289;;;;;;;;1;NEOLITHIC;;;East Lindsey,Lincolnshire;14463;50
153009;;;22.9;18.4;5.3;;2.09;1;NEOLITHIC;-2500;-1500;Cornwall,Cornwall;5886;77
152797;;;23;19;3.1;;1.2;1;BRONZE AGE;;;Hambleton,Yorkshire del Norte;10174;73.4
152682;Barbed and Tanged;;29.9;22.9;3.7;;1.66;1;NEOLITHIC;-2500;-1150;North Lincolnshire,Lincolnshire;10663;75.2
151625;;;22.4;15.83;4.89;;1.2;1;BRONZE AGE;;;East Riding of Yorkshire,East Riding of Yorkshire;13250;50
148494;;;;;;;;1;NEOLITHIC;-2300;-1700;Breckland,Norfolk;12395;77
148129;;;27;19;4;;1.8;1;NEOLITHIC;;;Hambleton,Yorkshire del Norte;10174;77
148042;;;23.13;15.8;3.35;;1.16;1;BRONZE AGE;-2150;-800;Chichester,Sussex Occidental;13859;73.4
146672;;;45;29;6;;;1;NEOLITHIC;-3500;-2100;Suffolk Coastal,Suffolk;5788;75.2
146635;;;37;21.5;4.5;;;1;NEOLITHIC;;;Swansea,Gales;9926;75.2
145562;;;49;18;;31;14.59;1;MEDIEVAL;1066;1800;Broadland,Norfolk;14063;60.8
145554;;;49;21;;;21.65;1;MEDIEVAL;1066;1800;Broadland,Norfolk;14063;50
145177;Flint;;41;18;;;;1;NEOLITHIC;-4;-2;Tendring,Essex;5239;48.2
144802;;;32.18;17.41;;;2.1;1;NEOLITHIC;-3500;-2900;Rugby,Warwickshire;13553;48.2
144305;;;29.41;18.32;4.37;;1.76;1;NEOLITHIC;-2500;-1500;Vale of White Horse,Oxfordshire;9599;46.4
142368;;;29.5;16;;;1.85;1;NEOLITHIC;-3500;-2900;Vale of White Horse,Oxfordshire;9599;57.2
142095;;barbed and tanged;24.4;20.3;4.6;;1.48;1;BRONZE AGE;-2500;-2100;West Dorset,Dorset;11111;53.6
141603;;;26.2;15.4;2.9;;0.89;1;NEOLITHIC;-3500;-2900;Isle of Wight,Isle of Wight;7100;53.6
140824;;;68;17;9;;14.46;1;MEDIEVAL;1200;1500;Stroud,Gloucestershire;11568;68
140814;;;48;16;7;;5.27;1;EARLY MEDIEVAL;800;1300;Stroud,Gloucestershire;11568;50
140712;;;35;15;5;;2.6;1;NEOLITHIC;-4000;-2200;Lichfield,Staffordshire;12700;50
140002;;;28.08;16.83;;;1.74;1;NEOLITHIC;-3500;-2900;Rugby,Warwickshire;13553;
139211;;;26.79;18.55;;;1.4;1;NEOLITHIC;;;Northumberland,Northumberland;12396;
138758;;;42.15;14.62;7.46;;5.76;1;MEDIEVAL;1100;1500;;11911;75.2
138515;;;25.73;24.48;;;2.61;1;NEOLITHIC;-2500;-2100;Stratford-on-Avon,Warwickshire;7521;77
137384;Transverse;;32.3;18.9;;;2.03;1;NEOLITHIC;-2500;-2100;North Lincolnshire,Lincolnshire;10663;50
137216;Tanged;;42;28;2;;7.67;1;BRONZE AGE;-2150;-800;Rugby,Warwickshire;13553;62.6
135572;;;41;15;3;;2.68;1;NEOLITHIC;-3500;-2100;Mid Suffolk,Suffolk;13435;62.6
135555;;;34;13;5;;2.73;1;NEOLITHIC;-3500;-2100;Mid Suffolk,Suffolk;13435;64.4
135131;;;30;28;4;;2.3;1;BRONZE AGE;-2150;-800;Charnwood,Leicestershire;7307;68
134873;;;28.9;17.9;7.44;;2.9;1;NEOLITHIC;-3500;-2100;Kirklees,Yorkshire del Oeste;7768;68
134870;;;26.97;17.8;2.6;;1.19;1;NEOLITHIC;-3500;-2500;Kirklees,Yorkshire del Oeste;7768;68
134869;;;47.4;24.13;3.4;;3.38;1;NEOLITHIC;-3500;-2500;Kirklees,Yorkshire del Oeste;7768;77
134766;Leaf;;52;23.9;;;4.81;1;NEOLITHIC;-3500;-2100;North Lincolnshire,Lincolnshire;10663;75.2
